rank,title,ratings,rating_num,meta
102,断背山,8.5,271011,导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake.../2005 / 美国 加拿大 / 剧情 爱情 同性 家庭
103,布达佩斯大饭店,8.7,245514,导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / .../2014 / 美国 德国 英国 / 剧情 喜剧
104,超脱,8.7,141851,导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 克里.../2011 / 美国 / 剧情
105,猫鼠游戏,8.7,176008,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L.../2002 / 美国 加拿大 / 传记 犯罪 剧情
106,幸福终点站,8.6,197815,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks.../2004 / 美国 / 喜剧 剧情 爱情
107,摩登时代,9.1,68506,导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin .../1936 / 美国 / 喜剧 剧情 爱情
108,虎口脱险,8.9,92596,导演: Gérard Oury   主演: 路易·德·菲耐斯 Louis de Funès / 布尔维尔 B.../1966 / 法国 英国 / 喜剧 战争
109,狩猎,9.0,90821,导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik.../2012 / 丹麦 瑞典 比利时 / 剧情
110,神偷奶爸,8.5,316488,导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: .../2010 / 美国 / 儿童 喜剧 动画
111,电锯惊魂,8.6,171108,导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾.../2004 / 美国 澳大利亚 / 犯罪 悬疑 惊悚
112,菊次郎的夏天,8.7,146929,导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus.../1999 / 日本 / 剧情 喜剧
113,真爱至上,8.5,267468,导演: 理查德·柯蒂斯 Richard Curtis   主演: 休·格兰特 Hugh Grant / 柯林.../2003 / 英国 美国 / 喜剧 剧情 爱情
114,谍影重重3,8.7,151063,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / .../2007 / 美国 德国 / 动作 悬疑 冒险
115,借东西的小人阿莉埃蒂,8.7,184773,导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木.../2010 / 日本 / 动画 奇幻 冒险
116,雨人,8.6,181629,导演: 巴瑞·莱文森 Barry Levinson   主演: 达斯汀·霍夫曼 Dustin Hoffman .../1988 / 美国 / 剧情
117,贫民窟的百万富翁,8.5,353308,导演: 丹尼·鲍尔 Danny Boyle / 洛芙琳·坦丹 Loveleen Tandan   主演: 戴夫.../2008 / 英国 美国 / 剧情 爱情
118,岁月神偷,8.6,266771,导演: 罗启锐 Alex Law   主演: 吴君如 Sandra Ng / 任达华 Simon Yam / 钟绍.../2010 / 香港 中国大陆 / 剧情 家庭
119,疯狂原始人,8.8,323898,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演.../2013 / 美国 / 喜剧 动画 冒险
120,记忆碎片,8.5,235356,导演: Christopher Nolan   主演: Guy Pearce / Carrie-Anne Moss / Joe Pant.../2000 / 美国 / 犯罪 剧情 悬疑 惊悚
121,东邪西毒,8.5,214831,导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 张曼玉 Maggie C.../1994 / 香港 台湾 / 剧情 动作 爱情 武侠 古装
122,七武士,9.1,61747,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 .../1954 / 日本 / 动作 冒险 剧情
123,穿越时空的少女,8.6,155955,导演: 细田守 Mamoru Hosoda   主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya.../2006 / 日本 / 剧情 爱情 科幻 动画
124,倩女幽魂,8.5,203324,导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W.../1987 / 香港 / 剧情 爱情 武侠 古装
125,魂断蓝桥,8.8,112736,导演: Mervyn LeRoy   主演: Vivien Leigh / Robert Taylor / Lucile Watson/1940 / 美国 / 剧情 战争 爱情
126,恋恋笔记本,8.5,231236,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /.../2004 / 美国 / 剧情 爱情
127,怪兽电力公司,8.6,198011,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约.../2001 / 美国 / 喜剧 动画 儿童 奇幻
128,哈利·波特与魔法石,8.6,197402,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint/2001 / 美国 英国 / 奇幻 冒险
129,穿条纹睡衣的男孩,8.8,106893,导演: 马克·赫门 Mark Herman   主演: 阿沙·巴特菲尔德 Asa Butterfield / .../2008 / 英国 美国 / 剧情 战争
130,猜火车,8.5,210223,导演: 丹尼·鲍尔 Danny Boyle   主演: 伊万·麦克格雷格 Ewan McGregor / 艾.../1996 / 英国 / 犯罪 剧情
131,末代皇帝,8.7,124868,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈.../1987 / 意大利 中国大陆 英国 法国 / 剧情 传记 历史
132,卢旺达饭店,8.8,97424,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥.../2004 / 英国 南非 意大利 美国 / 剧情 历史 战争
133,黑天鹅,8.5,361638,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔丽·波曼 Natalie P.../2010 / 美国 / 剧情 惊悚
134,杀人回忆,8.6,162489,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun.../2003 / 韩国 / 犯罪 剧情 悬疑 惊悚
135,消失的爱人,8.7,281545,导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙.../2014 / 美国 / 剧情 犯罪 悬疑 惊悚
136,秒速5厘米,8.5,232964,导演: 新海诚 Makoto Shinkai   主演: 水桥研二 Kenji Mizuhashi / 近藤好美 .../2007 / 日本 / 动画 剧情 爱情
137,完美的世界,9.0,64884,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos.../1993 / 美国 / 剧情 犯罪
138,教父3,8.7,107614,导演: Francis Ford Coppola   主演: 阿尔·帕西诺 Al Pacino / 黛安·基顿 D.../1990 / 美国 / 剧情 犯罪
139,玩具总动员3,8.8,170574,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾.../2010 / 美国 / 喜剧 动画 奇幻 冒险
140,傲慢与偏见,8.4,251627,导演: 乔·怀特 Joe Wright   主演: 凯拉·耐特丽 Keira Knightley / 马修·.../2005 / 法国 英国 美国 / 剧情 爱情
141,我是山姆,8.8,85508,导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi.../2001 / 美国 / 剧情 家庭
142,英雄本色,8.7,119348,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国.../1986 / 香港 / 动作 犯罪
143,人工智能,8.6,163191,导演: Steven Spielberg   主演: Haley Joel Osment / Frances O'Connor / Sa.../2001 / 美国 / 冒险 剧情 科幻
144,红辣椒,8.8,95548,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 古谷彻 T.../2006 / 日本 / 动画 悬疑 科幻 惊悚
145,雨中曲,8.9,76848,导演: Stanley Donen / Gene Kelly   主演: Gene Kelly / Donald O'Connor / .../1952 / 美国 / 喜剧 歌舞 爱情
146,香水,8.4,235529,导演: 汤姆·提克威 Tom Tykwer   主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克.../2006 / 德国 法国 西班牙 美国 / 剧情 犯罪 奇幻
147,纵横四海,8.7,115128,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung.../1991 / 香港 / 剧情 喜剧 动作 犯罪
148,冰川时代,8.4,234228,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演.../2002 / 美国 / 喜剧 动画 冒险
149,撞车,8.6,151520,导演: 保罗·哈吉斯 Paul Haggis   主演: 桑德拉·布洛克 Sandra Bullock / .../2004 / 美国 德国 / 犯罪 剧情
150,碧海蓝天,8.7,97900,导演: Luc Besson   主演: Jean-Marc Barr / Jean Reno / Rosanna Arquette/1988 / 法国 美国 意大利 / 剧情 爱情
151,恐怖直播,8.7,153820,导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y.../2013 / 韩国 / 剧情 犯罪 悬疑
152,萤火之森,8.8,122985,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 / 内山昂辉 Koki Uchiyama/2011 / 日本 / 剧情 爱情 动画 奇幻
153,浪潮,8.7,105683,导演: 丹尼斯·甘塞尔 Dennis Gansel   主演: 约根·沃格尔 Jürgen Vogel / .../2008 / 德国 / 剧情
154,喜宴,8.7,106737,导演: 李安   主演: 赵文瑄 / 归亚蕾 / 金素梅/1993 / 台湾 美国 / 剧情 喜剧 爱情 同性 家庭
155,朗读者,8.5,245129,导演: 史蒂芬·戴德利 Stephen Daldry   主演: 凯特·温丝莱特 Kate Winslet .../2008 / 美国 德国 / 剧情 爱情
