rank,title,ratings,rating_num,meta
196,当我们谈论爱情时我们在谈论什么,7.8,28284,[美] 雷蒙德·卡佛 / 小二 / 译林出版社 / 2010-1 / 22.00元
197,1984,9.3,24816,[英] 乔治·奥威尔 / 刘绍铭 / 北京十月文艺出版社 / 2010-4-1 / 28.00元
198,悲惨世界（上中下）,8.9,25236,[法] 雨果 / 李丹 / 人民文学出版社 / 1992-6 / 66.00元
199,黄金时代,8.8,25390,王小波 / 陕西师范大学出版社 / 2009-07-01 / 23.00元
200,香水,8.5,25909,[德] 帕·聚斯金德 / 李清华 / 上海译文出版社 / 2005-5 / 20.00元
201,金锁记,8.5,26038,张爱玲 / 哈尔滨出版社 / 2005年6月 / 13.5元
202,我的路,8.6,25500,寂地 / 北方妇女儿童出版社 / 2004-10 / 20.00元
203,草样年华,7.2,29092,孙睿 / 远方出版社 / 2004-1 / 19.50元
204,蔷薇岛屿,8.0,26866,安妮宝贝 / 作家出版社 / 2002-8 / 18.00元
205,骆驼祥子,8.2,26575,老舍 / 人民文学出版社 / 2000-3-1 / 12.00
206,盗墓笔记4,8.5,25727,南派三叔 / 中国友谊出版公司 / 2008-11 / 32.80元
207,匆匆那年（上下）,8.3,25891,九夜茴 / 东方出版社 / 2008-1 / 29.00
208,那些回不去的年少时光,8.5,25047,桐华 / 江苏文艺出版社 / 2010-01 / 23.80元
209,看不见的城市,8.8,24754,[意大利]伊塔洛·卡尔维诺 / 张宓 / 译林出版社 / 2006-8 / 16.00元
210,往事并不如烟,8.6,25009,章诒和 / 人民文学出版社 / 2004-1 / 35.00元
211,撒哈拉的故事,9.3,23650,三毛 / 北京十月文艺出版社 / 2011-1-7 / 24.00元
212,梦里花落知多少,8.8,24184,三毛 / 北京十月文艺出版社 / 2007-6 / 28.00元
213,史蒂夫·乔布斯传,8.7,24258,[美] 沃尔特·艾萨克森 / 管延圻 / 中信出版社 / 2011-10-24 / 68.00元
214,倾城之恋,8.7,24205,张爱玲 / 北京十月文艺出版社 / 2006-12 / 29.80元
215,飞鸟集,8.8,23934,[印] 罗宾德拉纳德·泰戈尔 / 徐翰林 / 哈尔滨出版社 / 2004-6 / 16.80元
216,那些年，我们一起追的女孩,8.2,24993,九把刀 / 花山文艺出版社 / 2007-1 / 20.00元
